Geography,County,State
"Pike County, Alabama",Pike County,Alabama
"Randolph County, Alabama",Randolph County,Alabama
"Russell County, Alabama",Russell County,Alabama
"St. Clair County, Alabama",St. Clair County,Alabama
"Shelby County, Alabama",Shelby County,Alabama
"Sumter County, Alabama",Sumter County,Alabama
"Talladega County, Alabama",Talladega County,Alabama
"Tallapoosa County, Alabama",Tallapoosa County,Alabama
"Tuscaloosa County, Alabama",Tuscaloosa County,Alabama
"Walker County, Alabama",Walker County,Alabama
"Washington County, Alabama",Washington County,Alabama
"Wilcox County, Alabama",Wilcox County,Alabama
"Winston County, Alabama",Winston County,Alabama
"Aleutians East Borough, Alaska",Aleutians East Borough,Alaska
"Aleutians West Census Area, Alaska",Aleutians West Census Area,Alaska
"Anchorage Municipality, Alaska",Anchorage Municipality,Alaska
"Bethel Census Area, Alaska",Bethel Census Area,Alaska
"Bristol Bay Borough, Alaska",Bristol Bay Borough,Alaska
"Denali Borough, Alaska",Denali Borough,Alaska
"Dillingham Census Area, Alaska",Dillingham Census Area,Alaska
"Fairbanks North Star Borough, Alaska",Fairbanks North Star Borough,Alaska
"Haines Borough, Alaska",Haines Borough,Alaska
"Hoonah-Angoon Census Area, Alaska",Hoonah-Angoon Census Area,Alaska
"Juneau City and Borough, Alaska",Juneau City and Borough,Alaska
"Kenai Peninsula Borough, Alaska",Kenai Peninsula Borough,Alaska
"Ketchikan Gateway Borough, Alaska",Ketchikan Gateway Borough,Alaska
"Kodiak Island Borough, Alaska",Kodiak Island Borough,Alaska
"Kusilvak Census Area, Alaska",Kusilvak Census Area,Alaska
"Lake and Peninsula Borough, Alaska",Lake and Peninsula Borough,Alaska
"Matanuska-Susitna Borough, Alaska",Matanuska-Susitna Borough,Alaska
"Nome Census Area, Alaska",Nome Census Area,Alaska
"North Slope Borough, Alaska",North Slope Borough,Alaska
"Northwest Arctic Borough, Alaska",Northwest Arctic Borough,Alaska
"Petersburg Borough, Alaska",Petersburg Borough,Alaska
"Prince of Wales-Hyder Census Area, Alaska",Prince of Wales-Hyder Census Area,Alaska
"Sitka City and Borough, Alaska",Sitka City and Borough,Alaska
"Skagway Municipality, Alaska",Skagway Municipality,Alaska
"Southeast Fairbanks Census Area, Alaska",Southeast Fairbanks Census Area,Alaska
"Valdez-Cordova Census Area, Alaska",Valdez-Cordova Census Area,Alaska
"Wrangell City and Borough, Alaska",Wrangell City and Borough,Alaska
"Yakutat City and Borough, Alaska",Yakutat City and Borough,Alaska
"Yukon-Koyukuk Census Area, Alaska",Yukon-Koyukuk Census Area,Alaska
"Apache County, Arizona",Apache County,Arizona
"Cochise County, Arizona",Cochise County,Arizona
"Coconino County, Arizona",Coconino County,Arizona
"Gila County, Arizona",Gila County,Arizona
"Graham County, Arizona",Graham County,Arizona
"Greenlee County, Arizona",Greenlee County,Arizona
"La Paz County, Arizona",La Paz County,Arizona
"Maricopa County, Arizona",Maricopa County,Arizona
"Mohave County, Arizona",Mohave County,Arizona
"Navajo County, Arizona",Navajo County,Arizona
"Pima County, Arizona",Pima County,Arizona
"Pinal County, Arizona",Pinal County,Arizona
"Santa Cruz County, Arizona",Santa Cruz County,Arizona
"Yavapai County, Arizona",Yavapai County,Arizona
"Yuma County, Arizona",Yuma County,Arizona
"Arkansas County, Arkansas",Arkansas County,Arkansas
"Ashley County, Arkansas",Ashley County,Arkansas
"Baxter County, Arkansas",Baxter County,Arkansas
"Benton County, Arkansas",Benton County,Arkansas
"Boone County, Arkansas",Boone County,Arkansas
"Bradley County, Arkansas",Bradley County,Arkansas
"Calhoun County, Arkansas",Calhoun County,Arkansas
"Carroll County, Arkansas",Carroll County,Arkansas
"Chicot County, Arkansas",Chicot County,Arkansas
"Clark County, Arkansas",Clark County,Arkansas
"Clay County, Arkansas",Clay County,Arkansas
"Cleburne County, Arkansas",Cleburne County,Arkansas
"Cleveland County, Arkansas",Cleveland County,Arkansas
"Columbia County, Arkansas",Columbia County,Arkansas
"Conway County, Arkansas",Conway County,Arkansas
"Craighead County, Arkansas",Craighead County,Arkansas
"Crawford County, Arkansas",Crawford County,Arkansas
"Crittenden County, Arkansas",Crittenden County,Arkansas
"Cross County, Arkansas",Cross County,Arkansas
"Dallas County, Arkansas",Dallas County,Arkansas
"Desha County, Arkansas",Desha County,Arkansas
"Drew County, Arkansas",Drew County,Arkansas
"Faulkner County, Arkansas",Faulkner County,Arkansas
"Franklin County, Arkansas",Franklin County,Arkansas
"Fulton County, Arkansas",Fulton County,Arkansas
"Garland County, Arkansas",Garland County,Arkansas
"Grant County, Arkansas",Grant County,Arkansas
"Greene County, Arkansas",Greene County,Arkansas
"Hempstead County, Arkansas",Hempstead County,Arkansas
"Hot Spring County, Arkansas",Hot Spring County,Arkansas
"Howard County, Arkansas",Howard County,Arkansas
"Independence County, Arkansas",Independence County,Arkansas
"Izard County, Arkansas",Izard County,Arkansas
"Jackson County, Arkansas",Jackson County,Arkansas
"Jefferson County, Arkansas",Jefferson County,Arkansas
"Johnson County, Arkansas",Johnson County,Arkansas
"Lafayette County, Arkansas",Lafayette County,Arkansas
"Lawrence County, Arkansas",Lawrence County,Arkansas
"Lee County, Arkansas",Lee County,Arkansas
"Lincoln County, Arkansas",Lincoln County,Arkansas
"Little River County, Arkansas",Little River County,Arkansas
"Logan County, Arkansas",Logan County,Arkansas
"Lonoke County, Arkansas",Lonoke County,Arkansas
"Madison County, Arkansas",Madison County,Arkansas
"Marion County, Arkansas",Marion County,Arkansas
"Miller County, Arkansas",Miller County,Arkansas
"Mississippi County, Arkansas",Mississippi County,Arkansas
"Monroe County, Arkansas",Monroe County,Arkansas
"Montgomery County, Arkansas",Montgomery County,Arkansas
"Nevada County, Arkansas",Nevada County,Arkansas
"Newton County, Arkansas",Newton County,Arkansas
"Ouachita County, Arkansas",Ouachita County,Arkansas
"Perry County, Arkansas",Perry County,Arkansas
"Phillips County, Arkansas",Phillips County,Arkansas
"Pike County, Arkansas",Pike County,Arkansas
"Poinsett County, Arkansas",Poinsett County,Arkansas
"Polk County, Arkansas",Polk County,Arkansas
"Pope County, Arkansas",Pope County,Arkansas
"Prairie County, Arkansas",Prairie County,Arkansas
"Pulaski County, Arkansas",Pulaski County,Arkansas
"Randolph County, Arkansas",Randolph County,Arkansas
"St. Francis County, Arkansas",St. Francis County,Arkansas
"Saline County, Arkansas",Saline County,Arkansas
"Scott County, Arkansas",Scott County,Arkansas
"Searcy County, Arkansas",Searcy County,Arkansas
"Sebastian County, Arkansas",Sebastian County,Arkansas
"Sevier County, Arkansas",Sevier County,Arkansas
"Sharp County, Arkansas",Sharp County,Arkansas
"Stone County, Arkansas",Stone County,Arkansas
"Union County, Arkansas",Union County,Arkansas
"Van Buren County, Arkansas",Van Buren County,Arkansas
"Washington County, Arkansas",Washington County,Arkansas
"White County, Arkansas",White County,Arkansas
"Woodruff County, Arkansas",Woodruff County,Arkansas
"Yell County, Arkansas",Yell County,Arkansas
"Alameda County, California",Alameda County,California
"Alpine County, California",Alpine County,California
"Amador County, California",Amador County,California
"Butte County, California",Butte County,California
"Calaveras County, California",Calaveras County,California
"Colusa County, California",Colusa County,California
"Contra Costa County, California",Contra Costa County,California
"Del Norte County, California",Del Norte County,California
"El Dorado County, California",El Dorado County,California
"Fresno County, California",Fresno County,California
"Glenn County, California",Glenn County,California
"Humboldt County, California",Humboldt County,California
"Imperial County, California",Imperial County,California
"Inyo County, California",Inyo County,California
"Kern County, California",Kern County,California
"Kings County, California",Kings County,California
"Lake County, California",Lake County,California
"Lassen County, California",Lassen County,California
"Los Angeles County, California",Los Angeles County,California
"Madera County, California",Madera County,California
"Marin County, California",Marin County,California
"Mariposa County, California",Mariposa County,California
"Mendocino County, California",Mendocino County,California
"Merced County, California",Merced County,California
"Modoc County, California",Modoc County,California
"Mono County, California",Mono County,California
"Monterey County, California",Monterey County,California
"Napa County, California",Napa County,California
"Nevada County, California",Nevada County,California
"Orange County, California",Orange County,California
"Placer County, California",Placer County,California
"Plumas County, California",Plumas County,California
"Riverside County, California",Riverside County,California
"Sacramento County, California",Sacramento County,California
"San Benito County, California",San Benito County,California
"San Bernardino County, California",San Bernardino County,California
"San Diego County, California",San Diego County,California
"San Francisco County, California",San Francisco County,California
"San Joaquin County, California",San Joaquin County,California
"San Luis Obispo County, California",San Luis Obispo County,California
"San Mateo County, California",San Mateo County,California
"Santa Barbara County, California",Santa Barbara County,California
"Santa Clara County, California",Santa Clara County,California
"Santa Cruz County, California",Santa Cruz County,California
"Shasta County, California",Shasta County,California
"Sierra County, California",Sierra County,California
"Siskiyou County, California",Siskiyou County,California
"Solano County, California",Solano County,California
"Sonoma County, California",Sonoma County,California
"Stanislaus County, California",Stanislaus County,California
"Sutter County, California",Sutter County,California
"Tehama County, California",Tehama County,California
"Trinity County, California",Trinity County,California
"Tulare County, California",Tulare County,California
"Tuolumne County, California",Tuolumne County,California
"Ventura County, California",Ventura County,California
"Yolo County, California",Yolo County,California
"Yuba County, California",Yuba County,California
"Adams County, Colorado",Adams County,Colorado
"Alamosa County, Colorado",Alamosa County,Colorado
"Arapahoe County, Colorado",Arapahoe County,Colorado
"Archuleta County, Colorado",Archuleta County,Colorado
"Baca County, Colorado",Baca County,Colorado
"Bent County, Colorado",Bent County,Colorado
"Boulder County, Colorado",Boulder County,Colorado
"Broomfield County, Colorado",Broomfield County,Colorado
"Chaffee County, Colorado",Chaffee County,Colorado
"Cheyenne County, Colorado",Cheyenne County,Colorado
"Clear Creek County, Colorado",Clear Creek County,Colorado
"Conejos County, Colorado",Conejos County,Colorado
"Costilla County, Colorado",Costilla County,Colorado
"Crowley County, Colorado",Crowley County,Colorado
"Custer County, Colorado",Custer County,Colorado
"Delta County, Colorado",Delta County,Colorado
"Denver County, Colorado",Denver County,Colorado
"Dolores County, Colorado",Dolores County,Colorado
"Douglas County, Colorado",Douglas County,Colorado
"Eagle County, Colorado",Eagle County,Colorado
"Elbert County, Colorado",Elbert County,Colorado
"El Paso County, Colorado",El Paso County,Colorado
"Fremont County, Colorado",Fremont County,Colorado
"Garfield County, Colorado",Garfield County,Colorado
"Gilpin County, Colorado",Gilpin County,Colorado
"Grand County, Colorado",Grand County,Colorado
"Gunnison County, Colorado",Gunnison County,Colorado
"Hinsdale County, Colorado",Hinsdale County,Colorado
"Huerfano County, Colorado",Huerfano County,Colorado
"Jackson County, Colorado",Jackson County,Colorado
"Jefferson County, Colorado",Jefferson County,Colorado
"Kiowa County, Colorado",Kiowa County,Colorado
"Kit Carson County, Colorado",Kit Carson County,Colorado
"Lake County, Colorado",Lake County,Colorado
"La Plata County, Colorado",La Plata County,Colorado
"Larimer County, Colorado",Larimer County,Colorado
"Las Animas County, Colorado",Las Animas County,Colorado
"Lincoln County, Colorado",Lincoln County,Colorado
"Logan County, Colorado",Logan County,Colorado
"Mesa County, Colorado",Mesa County,Colorado
"Mineral County, Colorado",Mineral County,Colorado
"Moffat County, Colorado",Moffat County,Colorado
"Montezuma County, Colorado",Montezuma County,Colorado
"Montrose County, Colorado",Montrose County,Colorado
"Morgan County, Colorado",Morgan County,Colorado
"Otero County, Colorado",Otero County,Colorado
"Ouray County, Colorado",Ouray County,Colorado
"Park County, Colorado",Park County,Colorado
"Phillips County, Colorado",Phillips County,Colorado
"Pitkin County, Colorado",Pitkin County,Colorado
"Prowers County, Colorado",Prowers County,Colorado
"Pueblo County, Colorado",Pueblo County,Colorado
"Rio Blanco County, Colorado",Rio Blanco County,Colorado
"Rio Grande County, Colorado",Rio Grande County,Colorado
"Routt County, Colorado",Routt County,Colorado
"Saguache County, Colorado",Saguache County,Colorado
"San Juan County, Colorado",San Juan County,Colorado
"San Miguel County, Colorado",San Miguel County,Colorado
"Sedgwick County, Colorado",Sedgwick County,Colorado
"Summit County, Colorado",Summit County,Colorado
"Teller County, Colorado",Teller County,Colorado
"Washington County, Colorado",Washington County,Colorado
"Weld County, Colorado",Weld County,Colorado
"Yuma County, Colorado",Yuma County,Colorado
"Fairfield County, Connecticut",Fairfield County,Connecticut
"Hartford County, Connecticut",Hartford County,Connecticut
"Litchfield County, Connecticut",Litchfield County,Connecticut
"Middlesex County, Connecticut",Middlesex County,Connecticut
"New Haven County, Connecticut",New Haven County,Connecticut
"New London County, Connecticut",New London County,Connecticut
"Tolland County, Connecticut",Tolland County,Connecticut
"Windham County, Connecticut",Windham County,Connecticut
"Kent County, Delaware",Kent County,Delaware
"New Castle County, Delaware",New Castle County,Delaware
"Sussex County, Delaware",Sussex County,Delaware
"District of Columbia, District of Columbia",District of Columbia,District of Columbia
"Alachua County, Florida",Alachua County,Florida
"Baker County, Florida",Baker County,Florida
"Bay County, Florida",Bay County,Florida
"Bradford County, Florida",Bradford County,Florida
"Brevard County, Florida",Brevard County,Florida
"Broward County, Florida",Broward County,Florida
"Calhoun County, Florida",Calhoun County,Florida
"Charlotte County, Florida",Charlotte County,Florida
"Citrus County, Florida",Citrus County,Florida
"Clay County, Florida",Clay County,Florida
"Collier County, Florida",Collier County,Florida
"Columbia County, Florida",Columbia County,Florida
"DeSoto County, Florida",DeSoto County,Florida
"Dixie County, Florida",Dixie County,Florida
"Duval County, Florida",Duval County,Florida
"Escambia County, Florida",Escambia County,Florida
"Flagler County, Florida",Flagler County,Florida
"Franklin County, Florida",Franklin County,Florida
"Gadsden County, Florida",Gadsden County,Florida
"Gilchrist County, Florida",Gilchrist County,Florida
"Glades County, Florida",Glades County,Florida
"Gulf County, Florida",Gulf County,Florida
"Hamilton County, Florida",Hamilton County,Florida
"Hardee County, Florida",Hardee County,Florida
"Hendry County, Florida",Hendry County,Florida
"Hernando County, Florida",Hernando County,Florida
"Highlands County, Florida",Highlands County,Florida
"Hillsborough County, Florida",Hillsborough County,Florida
"Holmes County, Florida",Holmes County,Florida
"Indian River County, Florida",Indian River County,Florida
"Jackson County, Florida",Jackson County,Florida
"Jefferson County, Florida",Jefferson County,Florida
"Lafayette County, Florida",Lafayette County,Florida
"Lake County, Florida",Lake County,Florida
"Lee County, Florida",Lee County,Florida
"Leon County, Florida",Leon County,Florida
"Levy County, Florida",Levy County,Florida
"Liberty County, Florida",Liberty County,Florida
"Madison County, Florida",Madison County,Florida
"Manatee County, Florida",Manatee County,Florida
"Marion County, Florida",Marion County,Florida
"Martin County, Florida",Martin County,Florida
"Miami-Dade County, Florida",Miami-Dade County,Florida
"Monroe County, Florida",Monroe County,Florida
"Nassau County, Florida",Nassau County,Florida
"Okaloosa County, Florida",Okaloosa County,Florida
"Okeechobee County, Florida",Okeechobee County,Florida
"Orange County, Florida",Orange County,Florida
"Osceola County, Florida",Osceola County,Florida
"Palm Beach County, Florida",Palm Beach County,Florida
"Pasco County, Florida",Pasco County,Florida
"Pinellas County, Florida",Pinellas County,Florida
"Polk County, Florida",Polk County,Florida
"Putnam County, Florida",Putnam County,Florida
"St. Johns County, Florida",St. Johns County,Florida
"St. Lucie County, Florida",St. Lucie County,Florida
"Santa Rosa County, Florida",Santa Rosa County,Florida
"Sarasota County, Florida",Sarasota County,Florida
"Seminole County, Florida",Seminole County,Florida
"Sumter County, Florida",Sumter County,Florida
"Suwannee County, Florida",Suwannee County,Florida
"Taylor County, Florida",Taylor County,Florida
"Union County, Florida",Union County,Florida
"Volusia County, Florida",Volusia County,Florida
"Wakulla County, Florida",Wakulla County,Florida
"Walton County, Florida",Walton County,Florida
"Washington County, Florida",Washington County,Florida
"Appling County, Georgia",Appling County,Georgia
"Atkinson County, Georgia",Atkinson County,Georgia
"Bacon County, Georgia",Bacon County,Georgia
"Baker County, Georgia",Baker County,Georgia
"Baldwin County, Georgia",Baldwin County,Georgia
"Banks County, Georgia",Banks County,Georgia
"Barrow County, Georgia",Barrow County,Georgia
"Bartow County, Georgia",Bartow County,Georgia
"Ben Hill County, Georgia",Ben Hill County,Georgia
"Berrien County, Georgia",Berrien County,Georgia
"Bibb County, Georgia",Bibb County,Georgia
"Bleckley County, Georgia",Bleckley County,Georgia
"Brantley County, Georgia",Brantley County,Georgia
"Brooks County, Georgia",Brooks County,Georgia
"Bryan County, Georgia",Bryan County,Georgia
"Bulloch County, Georgia",Bulloch County,Georgia
"Burke County, Georgia",Burke County,Georgia
"Butts County, Georgia",Butts County,Georgia
"Calhoun County, Georgia",Calhoun County,Georgia
"Camden County, Georgia",Camden County,Georgia
"Candler County, Georgia",Candler County,Georgia
"Carroll County, Georgia",Carroll County,Georgia
"Catoosa County, Georgia",Catoosa County,Georgia
"Charlton County, Georgia",Charlton County,Georgia
"Chatham County, Georgia",Chatham County,Georgia
"Chattahoochee County, Georgia",Chattahoochee County,Georgia
"Chattooga County, Georgia",Chattooga County,Georgia
"Cherokee County, Georgia",Cherokee County,Georgia
"Clarke County, Georgia",Clarke County,Georgia
"Clay County, Georgia",Clay County,Georgia
"Clayton County, Georgia",Clayton County,Georgia
"Clinch County, Georgia",Clinch County,Georgia
"Cobb County, Georgia",Cobb County,Georgia
"Coffee County, Georgia",Coffee County,Georgia
"Colquitt County, Georgia",Colquitt County,Georgia
"Columbia County, Georgia",Columbia County,Georgia
"Cook County, Georgia",Cook County,Georgia
"Coweta County, Georgia",Coweta County,Georgia
"Crawford County, Georgia",Crawford County,Georgia
"Crisp County, Georgia",Crisp County,Georgia
"Dade County, Georgia",Dade County,Georgia
"Dawson County, Georgia",Dawson County,Georgia
"Decatur County, Georgia",Decatur County,Georgia
"DeKalb County, Georgia",DeKalb County,Georgia
"Dodge County, Georgia",Dodge County,Georgia
"Dooly County, Georgia",Dooly County,Georgia
"Dougherty County, Georgia",Dougherty County,Georgia
"Douglas County, Georgia",Douglas County,Georgia
"Early County, Georgia",Early County,Georgia
"Echols County, Georgia",Echols County,Georgia
"Effingham County, Georgia",Effingham County,Georgia
"Elbert County, Georgia",Elbert County,Georgia
"Emanuel County, Georgia",Emanuel County,Georgia
"Evans County, Georgia",Evans County,Georgia
"Fannin County, Georgia",Fannin County,Georgia
"Fayette County, Georgia",Fayette County,Georgia
"Floyd County, Georgia",Floyd County,Georgia
"Forsyth County, Georgia",Forsyth County,Georgia
"Franklin County, Georgia",Franklin County,Georgia
"Fulton County, Georgia",Fulton County,Georgia
"Gilmer County, Georgia",Gilmer County,Georgia
"Glascock County, Georgia",Glascock County,Georgia
"Glynn County, Georgia",Glynn County,Georgia
"Gordon County, Georgia",Gordon County,Georgia
"Grady County, Georgia",Grady County,Georgia
"Greene County, Georgia",Greene County,Georgia
"Gwinnett County, Georgia",Gwinnett County,Georgia
"Habersham County, Georgia",Habersham County,Georgia
"Hall County, Georgia",Hall County,Georgia
"Hancock County, Georgia",Hancock County,Georgia
"Haralson County, Georgia",Haralson County,Georgia
"Harris County, Georgia",Harris County,Georgia
"Hart County, Georgia",Hart County,Georgia
"Heard County, Georgia",Heard County,Georgia
"Henry County, Georgia",Henry County,Georgia
"Houston County, Georgia",Houston County,Georgia
"Irwin County, Georgia",Irwin County,Georgia
"Jackson County, Georgia",Jackson County,Georgia
"Jasper County, Georgia",Jasper County,Georgia
"Jeff Davis County, Georgia",Jeff Davis County,Georgia
"Jefferson County, Georgia",Jefferson County,Georgia
"Jenkins County, Georgia",Jenkins County,Georgia
"Johnson County, Georgia",Johnson County,Georgia
"Jones County, Georgia",Jones County,Georgia
"Lamar County, Georgia",Lamar County,Georgia
"Lanier County, Georgia",Lanier County,Georgia
"Laurens County, Georgia",Laurens County,Georgia
"Lee County, Georgia",Lee County,Georgia
"Liberty County, Georgia",Liberty County,Georgia
"Lincoln County, Georgia",Lincoln County,Georgia
"Long County, Georgia",Long County,Georgia
"Lowndes County, Georgia",Lowndes County,Georgia
"Lumpkin County, Georgia",Lumpkin County,Georgia
"McDuffie County, Georgia",McDuffie County,Georgia
"McIntosh County, Georgia",McIntosh County,Georgia
"Macon County, Georgia",Macon County,Georgia
"Madison County, Georgia",Madison County,Georgia
"Marion County, Georgia",Marion County,Georgia
"Meriwether County, Georgia",Meriwether County,Georgia
"Miller County, Georgia",Miller County,Georgia
"Mitchell County, Georgia",Mitchell County,Georgia
"Monroe County, Georgia",Monroe County,Georgia
"Montgomery County, Georgia",Montgomery County,Georgia
"Morgan County, Georgia",Morgan County,Georgia
"Murray County, Georgia",Murray County,Georgia
"Muscogee County, Georgia",Muscogee County,Georgia
"Newton County, Georgia",Newton County,Georgia
"Oconee County, Georgia",Oconee County,Georgia
"Oglethorpe County, Georgia",Oglethorpe County,Georgia
"Paulding County, Georgia",Paulding County,Georgia
"Peach County, Georgia",Peach County,Georgia
"Pickens County, Georgia",Pickens County,Georgia
"Pierce County, Georgia",Pierce County,Georgia
"Pike County, Georgia",Pike County,Georgia
"Polk County, Georgia",Polk County,Georgia
"Pulaski County, Georgia",Pulaski County,Georgia
"Putnam County, Georgia",Putnam County,Georgia
"Quitman County, Georgia",Quitman County,Georgia
"Rabun County, Georgia",Rabun County,Georgia
"Randolph County, Georgia",Randolph County,Georgia
"Richmond County, Georgia",Richmond County,Georgia
"Rockdale County, Georgia",Rockdale County,Georgia
"Schley County, Georgia",Schley County,Georgia
"Screven County, Georgia",Screven County,Georgia
"Seminole County, Georgia",Seminole County,Georgia
"Spalding County, Georgia",Spalding County,Georgia
"Stephens County, Georgia",Stephens County,Georgia
"Stewart County, Georgia",Stewart County,Georgia
"Sumter County, Georgia",Sumter County,Georgia
"Talbot County, Georgia",Talbot County,Georgia
"Taliaferro County, Georgia",Taliaferro County,Georgia
"Tattnall County, Georgia",Tattnall County,Georgia
"Taylor County, Georgia",Taylor County,Georgia
"Telfair County, Georgia",Telfair County,Georgia
"Terrell County, Georgia",Terrell County,Georgia
"Thomas County, Georgia",Thomas County,Georgia
"Tift County, Georgia",Tift County,Georgia
"Toombs County, Georgia",Toombs County,Georgia
"Towns County, Georgia",Towns County,Georgia
"Treutlen County, Georgia",Treutlen County,Georgia
"Troup County, Georgia",Troup County,Georgia
"Turner County, Georgia",Turner County,Georgia
"Twiggs County, Georgia",Twiggs County,Georgia
"Union County, Georgia",Union County,Georgia
"Upson County, Georgia",Upson County,Georgia
"Walker County, Georgia",Walker County,Georgia
"Walton County, Georgia",Walton County,Georgia
"Ware County, Georgia",Ware County,Georgia
"Warren County, Georgia",Warren County,Georgia
"Washington County, Georgia",Washington County,Georgia
"Wayne County, Georgia",Wayne County,Georgia
"Webster County, Georgia",Webster County,Georgia
"Wheeler County, Georgia",Wheeler County,Georgia
"White County, Georgia",White County,Georgia
"Whitfield County, Georgia",Whitfield County,Georgia
"Wilcox County, Georgia",Wilcox County,Georgia
"Wilkes County, Georgia",Wilkes County,Georgia
"Wilkinson County, Georgia",Wilkinson County,Georgia
"Worth County, Georgia",Worth County,Georgia
"Hawaii County, Hawaii",Hawaii County,Hawaii
"Honolulu County, Hawaii",Honolulu County,Hawaii
"Kalawao County, Hawaii",Kalawao County,Hawaii
"Kauai County, Hawaii",Kauai County,Hawaii
"Maui County, Hawaii",Maui County,Hawaii
"Ada County, Idaho",Ada County,Idaho
"Adams County, Idaho",Adams County,Idaho
"Bannock County, Idaho",Bannock County,Idaho
"Bear Lake County, Idaho",Bear Lake County,Idaho
"Benewah County, Idaho",Benewah County,Idaho
"Bingham County, Idaho",Bingham County,Idaho
"Blaine County, Idaho",Blaine County,Idaho
"Boise County, Idaho",Boise County,Idaho
"Bonner County, Idaho",Bonner County,Idaho
"Bonneville County, Idaho",Bonneville County,Idaho
"Boundary County, Idaho",Boundary County,Idaho
"Butte County, Idaho",Butte County,Idaho
"Camas County, Idaho",Camas County,Idaho
"Canyon County, Idaho",Canyon County,Idaho
"Caribou County, Idaho",Caribou County,Idaho
"Cassia County, Idaho",Cassia County,Idaho
"Clark County, Idaho",Clark County,Idaho
"Clearwater County, Idaho",Clearwater County,Idaho
"Custer County, Idaho",Custer County,Idaho
"Elmore County, Idaho",Elmore County,Idaho
"Franklin County, Idaho",Franklin County,Idaho
"Fremont County, Idaho",Fremont County,Idaho
"Gem County, Idaho",Gem County,Idaho
"Gooding County, Idaho",Gooding County,Idaho
"Idaho County, Idaho",Idaho County,Idaho
"Jefferson County, Idaho",Jefferson County,Idaho
"Jerome County, Idaho",Jerome County,Idaho
"Kootenai County, Idaho",Kootenai County,Idaho
"Latah County, Idaho",Latah County,Idaho
"Lemhi County, Idaho",Lemhi County,Idaho
"Lewis County, Idaho",Lewis County,Idaho
"Lincoln County, Idaho",Lincoln County,Idaho
"Madison County, Idaho",Madison County,Idaho
"Minidoka County, Idaho",Minidoka County,Idaho
"Nez Perce County, Idaho",Nez Perce County,Idaho
"Oneida County, Idaho",Oneida County,Idaho
"Owyhee County, Idaho",Owyhee County,Idaho
"Payette County, Idaho",Payette County,Idaho
"Power County, Idaho",Power County,Idaho
"Shoshone County, Idaho",Shoshone County,Idaho
"Teton County, Idaho",Teton County,Idaho
"Twin Falls County, Idaho",Twin Falls County,Idaho
"Valley County, Idaho",Valley County,Idaho
"Washington County, Idaho",Washington County,Idaho
"Adams County, Illinois",Adams County,Illinois
"Alexander County, Illinois",Alexander County,Illinois
"Bond County, Illinois",Bond County,Illinois
"Boone County, Illinois",Boone County,Illinois
"Brown County, Illinois",Brown County,Illinois
"Bureau County, Illinois",Bureau County,Illinois
"Calhoun County, Illinois",Calhoun County,Illinois
"Carroll County, Illinois",Carroll County,Illinois
"Cass County, Illinois",Cass County,Illinois
