Geography,County,State,Latitude,Longitude,Avg Temperature,Max Temperature,Min Temperature,Avg Percipitation,Min Humidity,Max Humidity,Avg Wind
"Autauga County, Alabama",Autauga County,Alabama,32.5791817,-86.49965460000001,42.7752502515912,50.5175004452467,35.033000057935716,0.1997057659419503,67.42749881744385,85.57250118255615,8.669225089288355
"Baldwin County, Alabama",Baldwin County,Alabama,30.6010744,-87.77633329999998,49.13600007295609,55.0130002617836,43.25899988412857,1.2580757347617564,64.61749935150146,86.7775011062622,14.520747658246757
"Barbour County, Alabama",Barbour County,Alabama,31.817289600000002,-85.35496499999998,46.38649998605251,54.42799996137619,38.34500001072884,0.4895737016294885,73.50250053405762,89.70999908447266,9.349027496337891
"Bibb County, Alabama",Bibb County,Alabama,32.956279800000004,-87.14228949999998,42.6402500718832,50.23849993348122,35.04200021028519,0.17674763371625285,64.125,84.71499919891357,9.697153518482446
"Blount County, Alabama",Blount County,Alabama,34.0145152,-86.49965460000001,38.18075003325939,44.98250017166138,31.378999894857408,0.11453387305492492,62.27999973297119,84.4950008392334,9.929110023396015
"Bullock County, Alabama",Bullock County,Alabama,32.0573536,-85.7256372,44.78225001394749,52.699999892711645,36.864500135183334,0.28101030766494633,72.18249988555908,88.06750011444092,9.643527382417918
"Butler County, Alabama",Butler County,Alabama,31.6760284,-86.6611083,45.22324991524219,52.29500009119511,38.151499739289285,0.3454356323780976,67.43499946594238,86.60499954223633,10.643082692348958
"Calhoun County, Alabama",Calhoun County,Alabama,33.7701576,-85.80766,39.50375021994114,47.030000418424606,31.977500021457672,0.11750281326414094,62.53000068664551,85.05250072479248,8.961529997086526
"Chambers County, Alabama",Chambers County,Alabama,32.9028048,-85.35496499999998,42.581750094145534,50.78300015181303,34.38050003647804,0.19355769232502135,69.5875015258789,86.77999877929688,9.038776032778026
"Cherokee County, Alabama",Cherokee County,Alabama,34.166532200000006,-85.684578,38.808500131964685,46.24250025749207,31.3745000064373,0.16111728713268372,59.97000026702881,84.52500247955322,8.991610499455929
"Chilton County, Alabama",Chilton County,Alabama,32.944392,-86.6611083,41.79875006973744,49.500500047206884,34.09700009226799,0.17116771908256953,66.09500026702881,85.19250011444092,9.072354633868933
